Model,D2,D2_err
ESN,1.715,0.345
Hybrid Transfer+PINN - MS,1.612,0.448
Transfer Learning (orig),1.391,0.669
Transfer Learning - MS,1.173,0.887
Baseline RNN - MS,1.074,0.986
MAML (orig),1.068,0.992
MAML - MS,1.028,1.032
Hybrid Transfer+PINN (orig),0.967,1.093
PINN large-data (orig),0.066,1.994
Baseline RNN (orig),0.059,2.001
PINN-small (orig),0.04,2.02
PINN-small - MS,0.038,2.022
