Model,D2,D2_err
Hybrid Transfer+PINN - MS,0.983,0.017
ESN,1.051,0.051
Transfer Learning (orig),0.709,0.291
Baseline RNN (orig),0.193,0.807
PINN-small - MS,0.1,0.9
Baseline RNN - MS,0.085,0.915
MAML (orig),0.065,0.935
PINN-small (orig),0.046,0.954
Transfer Learning - MS,0.044,0.956
PINN large-data (orig),0.04,0.96
Hybrid Transfer+PINN (orig),0.038,0.962
MAML - MS,0.03,0.97
