Model,VPT_steps,VPT_s,VPT_LT
MAML - MS,471,471.0,2.59
ESN,350,350.0,1.925
Hybrid Transfer+PINN - MS,232,232.0,1.276
PINN-small - MS,227,227.0,1.248
Baseline RNN - MS,198,198.0,1.089
Transfer Learning - MS,197,197.0,1.083
Hybrid Transfer+PINN (orig),193,193.0,1.061
Transfer Learning (orig),180,180.0,0.99
Baseline RNN (orig),173,173.0,0.951
PINN large-data (orig),168,168.0,0.924
MAML (orig),95,95.0,0.522
PINN-small (orig),17,17.0,0.093
