IC,Method,MSE,RMSE,R2
"[np.float64(0.8613927931539589), np.float64(-0.05960800379708164)]",RNN,3.085686330450699e-05,0.005554895435965198,0.9733190536499023
"[np.float64(0.8613927931539589), np.float64(-0.05960800379708164)]",Transfer,0.00119097123388201,0.034510451081983994,0.14934629201889038
"[np.float64(0.8613927931539589), np.float64(-0.05960800379708164)]",MAML,0.00041761883767321706,0.020435724544855684,0.4482080936431885
"[np.float64(0.8613927931539589), np.float64(-0.05960800379708164)]",PINN,0.00011846463894471526,0.010884146220292856,0.8664443492889404
"[np.float64(0.8613927931539589), np.float64(-0.05960800379708164)]",Hybrid,0.0010466122766956687,0.032351387554410534,0.21397125720977783
"[np.float64(0.8613927931539589), np.float64(-0.05960800379708164)]",RC(ESN),2.4605447287621877e-07,0.0004960387816252059,0.9997248245081629
"[np.float64(1.6274758701794818), np.float64(-2.3427680618685094)]",RNN,0.005925866775214672,0.07697965169585189,0.9800268411636353
"[np.float64(1.6274758701794818), np.float64(-2.3427680618685094)]",Transfer,0.0030683688819408417,0.05539285948514341,0.990886926651001
"[np.float64(1.6274758701794818), np.float64(-2.3427680618685094)]",MAML,0.007092274259775877,0.08421564141996353,0.9743121862411499
"[np.float64(1.6274758701794818), np.float64(-2.3427680618685094)]",PINN,0.006892490200698376,0.08302102264305335,0.974385142326355
"[np.float64(1.6274758701794818), np.float64(-2.3427680618685094)]",Hybrid,0.0037049511447548866,0.06086830985623707,0.9885889291763306
"[np.float64(1.6274758701794818), np.float64(-2.3427680618685094)]",RC(ESN),9.891049109933388e-07,0.000994537536241513,0.9999951490277705
"[np.float64(1.5402498168242387), np.float64(0.3280870980526531)]",RNN,0.0004970537265762687,0.022294701760200084,0.9919306635856628
"[np.float64(1.5402498168242387), np.float64(0.3280870980526531)]",Transfer,0.0007327678613364697,0.027069685283291893,0.9874273538589478
"[np.float64(1.5402498168242387), np.float64(0.3280870980526531)]",MAML,0.0009313697228208184,0.030518350591419885,0.9839751720428467
"[np.float64(1.5402498168242387), np.float64(0.3280870980526531)]",PINN,0.0009027966298162937,0.030046574344112738,0.9855555891990662
"[np.float64(1.5402498168242387), np.float64(0.3280870980526531)]",Hybrid,0.000689541338942945,0.02625911915778869,0.9884203672409058
"[np.float64(1.5402498168242387), np.float64(0.3280870980526531)]",RC(ESN),1.409765948553859e-07,0.00037546850048357706,0.9999976377644386
"[np.float64(-1.0118875064802801), np.float64(-2.2665213974652336)]",RNN,0.0036304525565356016,0.060253236896747726,0.9846888780593872
"[np.float64(-1.0118875064802801), np.float64(-2.2665213974652336)]",Transfer,0.00159017788246274,0.039877034524431976,0.9936922788619995
"[np.float64(-1.0118875064802801), np.float64(-2.2665213974652336)]",MAML,0.0035388441756367683,0.05948818517686322,0.9839822053909302
"[np.float64(-1.0118875064802801), np.float64(-2.2665213974652336)]",PINN,0.004025300964713097,0.06344525959213262,0.9813449382781982
"[np.float64(-1.0118875064802801), np.float64(-2.2665213974652336)]",Hybrid,0.0019938538316637278,0.04465259042501037,0.9918795824050903
"[np.float64(-1.0118875064802801), np.float64(-2.2665213974652336)]",RC(ESN),1.5055103167864133e-07,0.0003880090613357391,0.9999990971458137
"[np.float64(2.4531369973539805), np.float64(-2.465871334781724)]",RNN,0.036924079060554504,0.19215639219280348,0.9460948705673218
"[np.float64(2.4531369973539805), np.float64(-2.465871334781724)]",Transfer,0.026808064430952072,0.16373168426102527,0.970557451248169
"[np.float64(2.4531369973539805), np.float64(-2.465871334781724)]",MAML,0.053596630692481995,0.23150946134549663,0.9129308462142944
"[np.float64(2.4531369973539805), np.float64(-2.465871334781724)]",PINN,0.04883364960551262,0.22098336952248832,0.9153074026107788
"[np.float64(2.4531369973539805), np.float64(-2.465871334781724)]",Hybrid,0.030144378542900085,0.17362136545627121,0.9639805555343628
"[np.float64(2.4531369973539805), np.float64(-2.465871334781724)]",RC(ESN),0.0003099335858974228,0.017604930726856687,0.9994789503152246
"[np.float64(1.3489651409496988), np.float64(1.2338355049714984)]",RNN,0.0006449210341088474,0.02539529551135106,0.9931466579437256
"[np.float64(1.3489651409496988), np.float64(1.2338355049714984)]",Transfer,0.0003554474678821862,0.01885331450653137,0.996313214302063
"[np.float64(1.3489651409496988), np.float64(1.2338355049714984)]",MAML,0.00043585686944425106,0.020877185381278078,0.9955567717552185
"[np.float64(1.3489651409496988), np.float64(1.2338355049714984)]",PINN,0.0008786260732449591,0.02964162737173786,0.9904413819313049
"[np.float64(1.3489651409496988), np.float64(1.2338355049714984)]",Hybrid,0.0003697905922308564,0.019229939995508472,0.9960308074951172
"[np.float64(1.3489651409496988), np.float64(1.2338355049714984)]",RC(ESN),8.34594753445631e-09,9.13561576165302e-05,0.9999999124507726
"[np.float64(-0.612805318325174), np.float64(-0.029262738795120313)]",RNN,0.0018439998384565115,0.04294181922621015,0.7142372727394104
"[np.float64(-0.612805318325174), np.float64(-0.029262738795120313)]",Transfer,0.0024741273373365402,0.049740600492319556,0.6435078978538513
"[np.float64(-0.612805318325174), np.float64(-0.029262738795120313)]",MAML,0.004231987986713648,0.06505373153565941,0.3815820515155792
"[np.float64(-0.612805318325174), np.float64(-0.029262738795120313)]",PINN,0.002676574978977442,0.051735625819907136,0.5199309587478638
"[np.float64(-0.612805318325174), np.float64(-0.029262738795120313)]",Hybrid,0.0024804449640214443,0.049804065737863654,0.6279828548431396
